step,train_loss,val_bpc,best_bpc,elapsed_s
1,5.7089,8.2295,8.2295,30.3
500,2.2302,3.0342,3.0342,2055.7
1000,1.9661,2.723,2.723,4085.0
1500,1.7824,2.5144,2.5144,6118.4
2000,1.7074,2.3855,2.3855,8152.3
2500,1.5747,2.2983,2.2983,10181.6
3000,1.7059,2.2606,2.2606,12209.4
