step,train_loss,val_bpc,best_bpc,elapsed_s
1,5.6107,8.0973,8.0973,10.2
500,2.4562,3.4941,3.4941,654.5
1000,2.3617,3.2701,3.2701,1300.7
1500,2.1647,3.0601,3.0601,1945.8
2000,2.1971,2.9088,2.9088,2591.0
2500,2.2044,2.8066,2.8066,3242.2
3000,2.0128,2.7933,2.7933,3906.0
