t,Linear,DeltaNet,VLA
816,1619.8201,2.13,33.0049
817,1620.1343,1.9815,33.0693
818,1622.0585,1.9316,33.0398
819,1625.2831,2.174,33.0091
820,1625.874,1.9032,33.0531
821,1629.326,2.23,33.1305
822,1631.0527,1.8971,33.1272
823,1631.3699,1.6869,33.1942
824,1634.5417,2.2551,33.2214
825,1636.7754,2.3266,33.1996
826,1641.1415,2.1744,33.3478
827,1640.7699,1.6831,33.302
828,1645.3523,1.9391,33.4543
829,1644.8569,2.0263,33.4425
830,1643.6217,1.4522,33.4077
831,1647.8296,1.8896,33.5425
832,1652.2255,1.9411,33.4977
833,1652.9889,1.8275,33.5722
834,1657.759,1.8245,33.7111
835,1650.8472,1.5067,33.6622
836,1655.7042,1.9061,33.7969
837,1659.8262,2.2408,33.7888
838,1660.6021,1.9361,33.8517
839,1660.4425,2.1244,33.7656
840,1665.9175,2.127,33.9355
841,1664.687,1.8621,33.8839
842,1668.4026,2.2223,33.9271
843,1673.0055,2.1985,33.9161
844,1675.1476,2.0868,33.9382
845,1674.1385,1.6845,33.9396
846,1677.9183,2.2204,33.968
847,1678.8425,2.0243,34.1115
848,1681.5135,1.7017,34.0806
849,1685.468,2.1256,34.1852
850,1688.1238,2.0447,34.0991
851,1690.7496,1.7421,34.1155
852,1695.0332,2.2141,34.2648
853,1696.5922,1.7301,34.2378
854,1699.0574,2.267,34.2797
855,1704.3812,2.4059,34.3618
856,1703.1621,1.8613,34.294
857,1707.2343,2.1093,34.4499
858,1705.4429,1.5191,34.408
859,1709.5441,1.9365,34.555
860,1710.6642,1.895,34.5431
861,1716.1418,1.9568,34.6693
862,1717.4902,2.1226,34.6153
863,1721.3391,2.1482,34.5983
864,1720.5194,2.0041,34.6808
865,1722.0872,2.217,34.7231
866,1724.1121,1.9478,34.7347
867,1723.728,1.8574,34.8226
868,1727.6107,1.9777,34.7978
869,1727.9447,1.6395,34.7972
870,1729.5472,2.2109,34.7741
871,1734.1707,2.2926,34.9377
872,1732.8353,1.642,34.8801
873,1737.1173,1.9934,35.0351
874,1734.5099,2.0612,35.0209
875,1731.264,1.6458,35.0286
876,1736.3268,1.8561,35.1661
877,1736.0735,1.4928,35.0747
878,1740.4263,2.1017,35.2251
879,1737.6404,1.9494,35.2326
880,1737.1188,1.8572,35.2318
881,1742.4011,2.131,35.3762
882,1741.8843,1.953,35.3793
883,1743.7864,1.501,35.3421
884,1747.8345,2.0543,35.4791
885,1743.3811,1.5884,35.4274
886,1747.8108,1.7749,35.5538
887,1746.9412,1.9379,35.5228
888,1751.8478,1.917,35.6388
889,1753.8361,1.9624,35.6348
890,1753.4698,1.9712,35.6464
891,1754.8455,1.8148,35.681
892,1753.6666,1.4659,35.6768
893,1755.0553,2.1975,35.7315
894,1758.2898,1.9071,35.7317
895,1760.7946,1.9604,35.7671
896,1758.1321,1.5657,35.7673
897,1763.2173,2.3065,35.9034
898,1764.58,1.9177,35.9207
899,1763.4604,1.5232,35.9548
900,1767.1284,2.1866,36.0078
901,1770.6068,2.3412,36.0845
902,1770.0083,2.1118,36.096
903,1772.1969,2.2403,36.0793
904,1774.2806,1.6197,36.0855
905,1775.4089,2.2299,36.0992
906,1776.1663,1.6855,36.1557
907,1779.3959,2.1192,36.2271
908,1779.1294,1.7296,36.2543
909,1781.1552,2.3028,36.2376
910,1785.6853,2.2162,36.3544
911,1786.6815,2.016,36.3825
912,1790.4042,2.3141,36.3717
913,1793.2253,1.8492,36.3875
914,1795.3524,1.7167,36.4243
915,1794.8243,1.6364,36.423
916,1796.0029,1.5292,36.4677
917,1799.8112,2.2847,36.5926
918,1804.0881,1.9478,36.5367
919,1805.6378,2.0741,36.6072
920,1810.6886,2.0348,36.6782
921,1810.9059,1.8473,36.6388
922,1813.0536,2.307,36.6678
923,1814.5339,1.5448,36.6683
924,1815.9526,2.3717,36.7407
925,1817.2351,1.6701,36.7683
926,1820.2003,2.0788,36.8207
927,1819.9673,1.7896,36.8405
928,1825.8683,2.1357,36.9327
929,1827.7155,1.9046,36.8759
930,1831.5894,2.2434,36.8838
931,1833.0997,1.8244,36.9041
932,1835.1726,2.3,36.9301
933,1839.0002,2.0434,37.0762
934,1841.8688,2.0628,37.0801
935,1841.2931,1.7326,37.1444
936,1844.2239,2.0515,37.1454
937,1849.5773,2.0171,37.235
938,1853.0657,1.9133,37.1202
939,1855.278,2.3498,37.1122
940,1857.9329,1.9701,37.1398
941,1859.8079,1.9925,37.1517
942,1858.9635,2.0129,37.2199
943,1859.0271,1.4824,37.2601
944,1861.4248,1.811,37.2393
945,1865.011,2.1572,37.3611
946,1864.6792,2.1772,37.3668
947,1862.8259,1.6517,37.3847
948,1867.3308,2.0431,37.4965
949,1867.226,1.7047,37.455
950,1871.8981,2.0375,37.5653
951,1871.1365,2.1145,37.5684
952,1868.988,1.3992,37.5948
953,1873.4801,2.1444,37.7093
954,1873.8237,1.8427,37.7506
955,1874.4102,1.7292,37.7082
956,1878.2664,2.3217,37.7955
957,1877.6095,1.6743,37.7866
958,1881.4697,1.76,37.9231
959,1880.2751,1.6931,37.9309
960,1885.7999,1.9261,38.0237
961,1883.7791,1.5153,37.9841
962,1888.6644,2.2074,38.1039
963,1886.7343,1.9234,38.0654
964,1886.5247,1.4985,38.0621
965,1890.302,1.9763,38.1559
966,1893.6858,2.05,38.1586
967,1894.8331,2.1227,38.248
968,1899.8188,2.0857,38.32
969,1893.9207,1.6048,38.3448
970,1899.2826,1.6567,38.4637
971,1897.9805,1.8535,38.4851
972,1900.6505,2.2691,38.4401
973,1901.8381,2.1163,38.5347
974,1903.7086,1.8297,38.5257
975,1909.637,2.2564,38.6163
976,1911.4409,2.3528,38.6073
977,1912.4875,2.0173,38.7006
978,1912.6404,2.2886,38.6324
979,1918.8138,2.0671,38.73
980,1917.9689,1.7334,38.6806
981,1921.6646,2.0999,38.7294
982,1925.9172,2.1054,38.7147
983,1928.2256,1.9236,38.724
984,1926.3702,1.5547,38.7509
985,1930.9171,2.1593,38.8618
986,1931.6886,1.7709,38.8275
987,1937.2959,1.8871,38.9179
988,1937.7925,1.7506,38.9119
989,1936.6467,1.573,38.8953
990,1937.9269,1.7417,38.9316
991,1942.707,2.0648,38.9561
992,1941.5767,1.6869,38.8786
993,1946.3367,2.0673,38.9594
994,1945.0371,1.5125,38.9555
995,1949.3169,1.928,39.0722
996,1949.6826,2.0219,39.0914
997,1954.1672,2.1183,39.1735
998,1955.2743,1.9577,39.1938
999,1954.8439,1.7286,39.1489
1000,1956.7229,1.7828,39.203
