t,vla_S,la_S,vla_A
791,98.9503,6163.6211,92.192
792,98.9417,6172.1807,92.181
793,99.0483,6182.4126,92.1719
794,99.1466,6183.186,92.1581
795,99.2249,6184.166,92.1428
796,99.2592,6195.2988,92.1297
797,99.2727,6203.0972,92.1146
798,99.4004,6219.1753,92.1006
799,99.4554,6214.6836,92.0878
800,99.5635,6208.709,92.0838
801,99.6486,6206.166,92.0699
802,99.6746,6223.73,92.0545
803,99.8232,6244.606,92.0396
804,99.8382,6246.5342,92.0247
805,99.879,6252.4331,92.0105
806,99.9131,6264.7739,91.9947
807,99.9742,6274.7202,91.9821
808,100.1059,6266.7783,91.9637
809,100.1985,6290.3057,91.9525
810,100.1936,6297.499,91.9432
811,100.2579,6299.4292,91.9206
812,100.3164,6306.3271,91.9033
813,100.4094,6306.7432,91.8869
814,100.4083,6324.8467,91.8745
815,100.4774,6333.4419,91.8623
816,100.5226,6347.1523,91.8474
817,100.6525,6351.0898,91.8361
818,100.7829,6356.8755,91.8199
819,100.7655,6361.417,91.8069
820,100.8413,6362.1431,91.8046
821,100.8881,6370.5742,91.7915
822,100.9683,6372.3423,91.7813
823,100.9818,6382.6768,91.7674
824,100.9995,6386.043,91.753
825,101.0354,6387.3496,91.74
826,101.0916,6398.2061,91.7231
827,101.0674,6403.5151,91.7111
828,101.2011,6412.1436,91.6987
829,101.2867,6420.1465,91.6786
830,101.3566,6432.0771,91.6679
831,101.4334,6451.0674,91.654
832,101.4684,6456.6284,91.6396
833,101.4772,6462.7563,91.6286
834,101.5275,6469.9575,91.6134
835,101.5536,6471.1323,91.5986
836,101.5395,6474.1846,91.5845
837,101.612,6475.917,91.5685
838,101.686,6483.0171,91.5545
839,101.7478,6487.6235,91.5423
840,101.8557,6504.4321,91.5438
841,101.8936,6502.5103,91.5316
842,101.9654,6503.377,91.517
843,101.9742,6519.8032,91.5033
844,102.052,6527.8608,91.492
845,102.1156,6535.9253,91.4769
846,102.1777,6545.165,91.4643
847,102.2624,6550.2832,91.4534
848,102.2383,6575.0869,91.4425
849,102.3598,6576.0337,91.4239
850,102.3458,6580.2686,91.4124
851,102.3759,6587.8706,91.3985
852,102.4655,6599.5757,91.3879
853,102.4838,6591.8218,91.3731
854,102.5091,6591.4526,91.3595
855,102.5425,6591.188,91.3466
856,102.6455,6594.5767,91.3334
857,102.6647,6608.2729,91.3224
858,102.7584,6616.6226,91.3089
859,102.7897,6632.8984,91.2997
860,102.8444,6642.7334,91.2967
861,102.9409,6652.1089,91.2841
862,103.0053,6660.7056,91.2682
863,103.0628,6660.7759,91.2493
864,103.052,6671.8784,91.2378
865,103.0528,6679.8164,91.2247
866,103.1331,6687.9287,91.2113
867,103.1577,6693.0107,91.1995
868,103.2518,6706.7671,91.1874
869,103.2737,6713.98,91.1749
870,103.3093,6714.9409,91.159
871,103.4047,6728.7847,91.1458
872,103.5078,6731.5283,91.1347
873,103.5244,6737.9937,91.1261
874,103.5674,6748.2017,91.1159
875,103.6317,6750.8911,91.101
876,103.6748,6750.9858,91.0897
877,103.706,6765.1738,91.0768
878,103.7924,6772.8096,91.0633
879,103.7737,6784.5054,91.0535
880,103.8215,6789.4341,91.0541
881,103.8826,6790.6636,91.0408
882,103.9295,6801.8828,91.03
883,103.9235,6814.4175,91.0191
884,103.9781,6825.3984,91.0064
885,103.9927,6836.2158,90.9975
886,104.0777,6838.459,90.9871
887,104.1365,6853.0146,90.9761
888,104.1739,6863.5488,90.9666
889,104.2126,6883.9814,90.9578
890,104.232,6894.2354,90.9439
891,104.2376,6904.6294,90.9316
892,104.2819,6907.6323,90.9173
893,104.3601,6917.0801,90.9028
894,104.3853,6913.5806,90.8843
895,104.4346,6920.4604,90.8718
896,104.4713,6923.1782,90.8577
897,104.5132,6919.2134,90.8436
898,104.6128,6927.2861,90.8328
899,104.7005,6942.7979,90.8235
900,104.7286,6946.9678,90.8204
901,104.7576,6951.2417,90.8097
902,104.813,6953.8184,90.7972
903,104.851,6971.1655,90.7847
904,104.872,6965.0957,90.7704
905,104.9226,6962.5635,90.76
906,104.9298,6964.8838,90.7495
907,104.9595,6964.4678,90.7432
908,105.0753,6975.6001,90.7317
909,105.0466,6976.749,90.7226
910,105.023,6973.2637,90.7086
911,105.0502,6976.8691,90.6937
912,105.0639,6986.3223,90.6834
913,105.0885,6990.8447,90.6721
914,105.1222,7002.186,90.661
915,105.0932,7009.3159,90.6507
916,105.1353,7010.4321,90.6398
917,105.1252,7023.2778,90.6267
918,105.1571,7031.2368,90.6177
919,105.1749,7040.667,90.6046
920,105.2605,7040.9712,90.6042
921,105.2759,7044.498,90.5924
922,105.3346,7056.1924,90.5814
923,105.4068,7070.3945,90.5661
924,105.3644,7072.1777,90.5551
925,105.5168,7075.1875,90.5396
926,105.5775,7077.5635,90.5293
927,105.5436,7082.1367,90.5152
928,105.5766,7082.0674,90.5022
929,105.6755,7084.9419,90.487
930,105.6828,7105.0269,90.4785
931,105.7913,7127.4517,90.4673
932,105.8297,7135.8887,90.4586
933,105.8195,7144.6582,90.4447
934,105.8844,7153.6992,90.4356
935,105.9362,7163.1274,90.4235
936,105.9285,7163.8164,90.412
937,105.9878,7169.1191,90.3989
938,106.0819,7185.0239,90.3893
939,106.0803,7200.3247,90.3802
940,106.1191,7209.2104,90.3764
941,106.1514,7213.1724,90.3636
942,106.2424,7217.1445,90.3552
943,106.2864,7229.8452,90.345
944,106.3543,7237.0034,90.3297
945,106.3044,7256.3833,90.3193
946,106.4059,7269.4575,90.3065
947,106.4315,7278.4995,90.2938
948,106.4665,7272.7075,90.2826
949,106.5128,7267.918,90.2708
950,106.5709,7269.9512,90.2588
951,106.5849,7270.7339,90.25
952,106.6801,7286.2046,90.2372
953,106.7451,7302.9282,90.2235
954,106.7533,7325.1421,90.216
955,106.794,7324.9121,90.2039
956,106.7977,7326.8384,90.1921
957,106.812,7330.7788,90.1789
958,106.8187,7347.4873,90.1653
959,106.8741,7360.9517,90.1556
960,106.8898,7353.9106,90.1502
961,106.8806,7354.063,90.14
962,106.9104,7353.0122,90.1325
963,106.9064,7354.5435,90.1201
964,106.9671,7368.0977,90.1061
965,107.0002,7378.876,90.094
966,107.0447,7389.77,90.0829
967,107.09,7396.2373,90.0735
968,107.1398,7406.2324,90.0621
969,107.2153,7404.0732,90.0543
970,107.3286,7412.6445,90.0426
971,107.3783,7421.9238,90.0295
972,107.3804,7432.6328,90.018
973,107.4481,7440.0806,90.0078
974,107.4909,7445.5581,89.9951
975,107.4947,7445.5562,89.9802
976,107.569,7446.0381,89.9711
977,107.6515,7455.0615,89.9585
978,107.6999,7458.6636,89.9483
979,107.7708,7470.8306,89.9386
980,107.8355,7471.9756,89.9371
981,107.8281,7487.0498,89.926
982,107.837,7496.6255,89.9148
983,107.8995,7505.9902,89.9064
984,107.8935,7512.5566,89.8946
985,107.9025,7527.1123,89.8871
986,107.9139,7537.9189,89.8727
987,108.0031,7550.2129,89.8596
988,108.0405,7574.9355,89.8515
989,108.0943,7580.2207,89.8397
990,108.1495,7572.8779,89.8252
991,108.1954,7571.1187,89.8108
992,108.2149,7593.7739,89.8002
993,108.2718,7598.354,89.7867
994,108.3841,7602.6152,89.7765
995,108.4343,7588.7329,89.7664
996,108.4566,7579.0537,89.7564
997,108.5389,7596.5557,89.7435
998,108.5575,7595.3857,89.7334
999,108.6287,7606.8516,89.7217
1000,108.6738,7610.7134,89.7223
1001,108.7445,7624.2456,89.7139
1002,108.7788,7628.8394,89.705
1003,108.8374,7633.0591,89.6915
1004,108.8862,7647.0537,89.6794
1005,108.9785,7656.4717,89.6664
1006,109.0381,7663.2441,89.6557
1007,109.1008,7674.1899,89.6456
1008,109.0925,7683.2681,89.6344
1009,109.1393,7687.6875,89.6233
1010,109.2032,7695.7939,89.6118
1011,109.2246,7698.2856,89.6019
1012,109.2662,7704.8315,89.5936
1013,109.2607,7719.0127,89.5828
1014,109.2928,7726.7227,89.5675
1015,109.3229,7739.9932,89.556
1016,109.3593,7752.0991,89.5444
1017,109.489,7754.0146,89.5301
1018,109.4215,7752.6729,89.5199
1019,109.4779,7758.2236,89.5079
1020,109.5197,7770.0625,89.5094
1021,109.5446,7766.5479,89.4968
1022,109.6027,7772.5327,89.4855
1023,109.6646,7781.604,89.4764
1024,109.6767,7793.853,89.4645
1025,109.6552,7800.6431,89.4549
1026,109.6819,7802.5166,89.4449
1027,109.6904,7813.5991,89.4351
1028,109.7697,7818.3721,89.4255
1029,109.7874,7815.7725,89.4153
1030,109.7958,7826.2036,89.4067
1031,109.842,7825.2607,89.3961
1032,109.875,7832.8091,89.3873
1033,109.9122,7841.0469,89.3761
1034,109.9952,7846.2178,89.3643
1035,109.9944,7853.7554,89.3533
1036,110.0164,7863.0132,89.3438
1037,110.0589,7868.168,89.3331
1038,110.0732,7868.0337,89.32
1039,110.1164,7881.0996,89.3115
1040,110.1091,7891.5044,89.315
1041,110.1322,7898.895,89.3004
1042,110.2391,7899.7905,89.29
1043,110.2403,7899.8911,89.2777
1044,110.3168,7903.1875,89.269
1045,110.3426,7905.4634,89.2549
1046,110.3475,7912.8931,89.2446
1047,110.3932,7915.9097,89.2362
1048,110.3766,7926.1567,89.2226
1049,110.4119,7924.4741,89.215
1050,110.4514,7922.4863,89.2074
1051,110.4693,7929.334,89.1967
1052,110.5071,7934.9243,89.1869
1053,110.5989,7944.8145,89.176
1054,110.6836,7948.9893,89.1607
1055,110.6784,7955.6929,89.1491
1056,110.7747,7962.5117,89.1393
1057,110.7588,7968.5977,89.1281
1058,110.8175,7976.2153,89.1194
1059,110.865,7986.875,89.1126
1060,110.8527,8001.0659,89.1124
1061,110.9248,8017.5591,89.1021
1062,110.8608,8029.0928,89.0929
1063,111.0273,8039.9512,89.081
1064,110.9804,8049.812,89.0736
1065,111.0775,8054.3516,89.0624
1066,111.2223,8062.3198,89.0551
1067,111.1696,8079.5835,89.0452
1068,111.2087,8087.5757,89.036
1069,111.2539,8083.6055,89.0263
1070,111.2537,8086.0806,89.0142
1071,111.305,8103.5132,89.0071
1072,111.3207,8105.7236,88.9958
1073,111.4226,8127.2861,88.9875
1074,111.4253,8131.2725,88.9802
1075,111.4261,8132.1333,88.9712
1076,111.435,8136.1572,88.9615
1077,111.4658,8135.2534,88.9489
1078,111.5272,8132.2534,88.9383
1079,111.5883,8139.2563,88.9282
1080,111.6277,8144.1216,88.9269
1081,111.6682,8149.8755,88.9168
1082,111.683,8158.7163,88.9052
1083,111.7373,8156.7466,88.893
1084,111.7483,8168.8955,88.8825
1085,111.8503,8176.2944,88.8743
1086,111.9186,8179.4829,88.8619
1087,111.9382,8190.9766,88.8519
1088,111.9547,8198.1855,88.8429
1089,111.9792,8202.1709,88.833
1090,112.1101,8211.8604,88.8234
1091,112.1424,8214.9023,88.8135
1092,112.1869,8221.5371,88.8017
1093,112.2251,8237.293,88.7875
1094,112.2234,8240.8047,88.7813
1095,112.2911,8250.2021,88.7694
1096,112.334,8258.375,88.759
1097,112.3415,8276.5889,88.7504
1098,112.3978,8268.8652,88.741
1099,112.4101,8267.1016,88.7315
1100,112.4976,8260.8369,88.7325
1101,112.5586,8261.3594,88.7212
1102,112.5779,8277.6055,88.7094
1103,112.6912,8281.6426,88.6989
1104,112.6895,8296.0537,88.6929
1105,112.6798,8300.2871,88.6841
1106,112.6874,8305.7998,88.6733
1107,112.7107,8317.9893,88.6667
1108,112.7534,8328.2285,88.6555
1109,112.7985,8336.0752,88.6465
1110,112.7526,8345.8936,88.637
1111,112.8168,8344.8223,88.6284
1112,112.8563,8356.8301,88.6178
1113,112.8315,8356.957,88.608
1114,112.8635,8362.8984,88.5991
1115,112.9269,8370.7852,88.591
1116,113.0445,8374.0381,88.5803
1117,113.018,8381.3984,88.5711
1118,113.0565,8392.3457,88.5595
1119,113.0427,8394.6777,88.549
1120,113.0885,8410.4121,88.5513
1121,113.1086,8425.9512,88.5428
1122,113.1315,8429.5801,88.5324
1123,113.2217,8436.0195,88.5249
1124,113.2787,8451.1943,88.5157
1125,113.3316,8457.9121,88.5088
1126,113.3653,8472.7422,88.4961
1127,113.3945,8472.457,88.4835
1128,113.4261,8484.8682,88.4702
1129,113.4408,8489.251,88.4608
1130,113.5041,8493.0098,88.4517
1131,113.5408,8497.9404,88.443
1132,113.5622,8503.5723,88.4361
1133,113.6026,8510.4365,88.4281
1134,113.6393,8507.585,88.4187
1135,113.7144,8508.8203,88.4097
1136,113.7722,8516.2754,88.3993
1137,113.7857,8516.3096,88.3935
1138,113.7948,8524.0908,88.3832
1139,113.854,8528.9053,88.3715
1140,113.8676,8544.2656,88.3749
1141,113.9987,8560.5146,88.3644
1142,114.0585,8565.2236,88.3523
1143,114.0455,8573.3838,88.342
1144,114.0448,8574.7959,88.3313
1145,114.0647,8578.957,88.3207
1146,114.1211,8580.1611,88.3117
1147,114.1556,8581.499,88.3057
1148,114.2332,8587.6621,88.2967
1149,114.171,8600.3096,88.2892
1150,114.1784,8602.1768,88.2789
1151,114.2344,8603.6758,88.2681
1152,114.2711,8609.832,88.2588
1153,114.3184,8618.5762,88.2508
1154,114.3195,8630.1318,88.2378
1155,114.3662,8635.3311,88.226
1156,114.4501,8635.1758,88.2153
1157,114.4915,8636.7227,88.204
1158,114.5377,8641.2959,88.1937
1159,114.5642,8650.1689,88.1842
1160,114.6212,8656.1318,88.1824
1161,114.6819,8654.3154,88.1739
1162,114.6826,8663.0762,88.1639
1163,114.7025,8664.1426,88.1561
1164,114.7287,8663.8311,88.1478
1165,114.7524,8669.333,88.1411
1166,114.8019,8676.1846,88.1329
1167,114.8446,8684.3281,88.1227
1168,114.8897,8687.7861,88.113
1169,114.9311,8693.0918,88.1056
1170,115.0248,8696.6094,88.0955
1171,114.9982,8702.1777,88.0868
1172,115.0838,8718.3418,88.0735
1173,115.1124,8724.4414,88.0618
1174,115.1537,8728.1914,88.0518
1175,115.1941,8728.5146,88.0448
1176,115.2373,8728.1367,88.039
1177,115.311,8728.126,88.0301
1178,115.3565,8738.6396,88.0203
1179,115.4257,8746.2422,88.0112
1180,115.454,8750.9805,88.0129
1181,115.5595,8763.9521,88.0047
1182,115.5401,8774.7549,87.9952
1183,115.6347,8780.54,87.9872
1184,115.6069,8791.2803,87.9767
1185,115.6352,8799.8379,87.966
1186,115.7167,8815.8027,87.9573
1187,115.749,8824.3203,87.9455
1188,115.7796,8833.9805,87.9373
1189,115.8598,8831.8584,87.9271
1190,115.8831,8838.9004,87.9179
1191,115.8696,8840.2588,87.9062
1192,115.925,8843.7627,87.8958
1193,115.9733,8861.4883,87.8896
1194,115.9763,8868.8779,87.8799
1195,116.0673,8883.9844,87.8717
1196,116.079,8887.0742,87.8623
1197,116.0967,8894.5127,87.8508
1198,116.1717,8907.0459,87.8406
1199,116.2017,8914.291,87.83
1200,116.235,8930.6953,87.8311
1201,116.274,8938.0029,87.8221
1202,116.3167,8942.1035,87.8099
1203,116.3493,8951.209,87.7971
1204,116.4514,8954.915,87.7887
1205,116.4225,8969.8994,87.7819
1206,116.4693,8982.8975,87.7734
1207,116.4404,8996.1768,87.7651
1208,116.4782,9004.7871,87.7538
1209,116.4791,9008.9395,87.7436
1210,116.5151,9016.3779,87.7355
1211,116.5568,9028.6787,87.7277
1212,116.5908,9030.5664,87.7176
1213,116.6133,9038.166,87.7101
1214,116.6881,9047.7041,87.6987
1215,116.7363,9061.4033,87.691
1216,116.7426,9074.3232,87.6813
1217,116.8647,9077.9609,87.6721
1218,116.8677,9077.2061,87.6647
1219,116.9618,9089.9971,87.6561
1220,117.018,9091.5869,87.6584
1221,117.0116,9098.4834,87.6479
1222,117.0431,9100.0488,87.6404
1223,117.12,9100.7432,87.6289
1224,117.1213,9110.665,87.621
1225,117.177,9122.6338,87.6135
1226,117.2382,9122.6797,87.6065
1227,117.2634,9130.4365,87.595
1228,117.3174,9135.666,87.5843
1229,117.3152,9138.8926,87.5745
1230,117.4247,9156.54,87.5683
1231,117.4722,9159.9189,87.558
1232,117.5263,9174.5156,87.5466
1233,117.5435,9176.4688,87.5361
1234,117.5637,9186.6016,87.5282
1235,117.6203,9182.4297,87.5161
1236,117.6325,9181.6953,87.5062
1237,117.6447,9182.9893,87.4981
1238,117.6943,9179.2725,87.4899
1239,117.6729,9186.8779,87.4798
1240,117.7118,9200.7803,87.4795
1241,117.7506,9204.46,87.4716
1242,117.774,9208.7305,87.4633
1243,117.7724,9216.5479,87.4533
1244,117.8558,9218.8682,87.4439
1245,117.8785,9233.3877,87.4364
1246,117.9142,9234.4619,87.4288
1247,117.9411,9245.501,87.4192
1248,117.9604,9261.2744,87.4102
1249,118.0235,9271.8701,87.4033
1250,118.0852,9286.0605,87.393
1251,118.1406,9287.2451,87.3845
1252,118.1707,9290.0166,87.3729
1253,118.2062,9290.5732,87.3643
1254,118.3288,9298.9521,87.3585
1255,118.3151,9305.1387,87.349
1256,118.3165,9301.8994,87.3414
1257,118.3555,9307.7881,87.3316
1258,118.4419,9317.2578,87.3212
1259,118.4849,9331.6602,87.3122
1260,118.4809,9334.124,87.3148
1261,118.4835,9343.5586,87.3066
1262,118.5784,9345.6357,87.2964
1263,118.5884,9357.0176,87.2862
1264,118.617,9356.75,87.2784
1265,118.6253,9376.5996,87.2695
1266,118.6375,9382.7852,87.2595
1267,118.7575,9383.1602,87.2535
1268,118.7163,9387.291,87.2451
1269,118.7127,9392.9795,87.2355
1270,118.8523,9387.3799,87.2282
1271,118.9067,9388.1045,87.2213
1272,118.9072,9386.7588,87.2135
1273,118.9266,9392.5635,87.2039
1274,118.9834,9397.5234,87.1961
1275,118.9615,9394.9082,87.1861
1276,118.9564,9405.7959,87.1768
1277,118.9906,9418.9912,87.1663
1278,119.0478,9424.3262,87.16
1279,119.1599,9415.7344,87.1516
1280,119.1826,9428.833,87.153
1281,119.1979,9420.0693,87.1445
1282,119.2558,9418.7861,87.1362
1283,119.284,9436.7363,87.1261
1284,119.3544,9439.9971,87.1189
1285,119.4054,9453.3926,87.1079
1286,119.453,9460.5674,87.1009
1287,119.5621,9458.4678,87.0928
1288,119.5419,9460.8955,87.0853
1289,119.6087,9475.1895,87.0762
1290,119.6334,9479.0098,87.064
1291,119.7026,9483.7051,87.055
1292,119.7703,9490.7578,87.0478
1293,119.7948,9497.1855,87.0404
1294,119.8309,9509.1426,87.0312
1295,119.9069,9519.708,87.023
1296,119.9359,9527.5723,87.0138
1297,120.0139,9531.2773,87.005
1298,120.0093,9540.9004,86.9951
1299,120.0453,9543.6416,86.9857
1300,120.1562,9544.0566,86.9865
1301,120.1357,9543.3135,86.9802
1302,120.161,9547.8086,86.972
1303,120.2251,9552.3457,86.9625
1304,120.3142,9565.3721,86.9552
1305,120.2983,9580.0693,86.946
1306,120.3154,9589.9707,86.9361
1307,120.3126,9614.8828,86.9259
1308,120.3952,9620.6006,86.9182
1309,120.3798,9632.4756,86.9126
1310,120.4104,9654.04,86.9051
1311,120.4579,9663.4385,86.8941
1312,120.5039,9675.2314,86.8877
1313,120.5534,9673.5166,86.8805
1314,120.6179,9684.3018,86.8719
1315,120.6756,9690.4717,86.8642
1316,120.6992,9699.0391,86.8565
1317,120.6974,9709.8857,86.8492
1318,120.7474,9711.6055,86.843
1319,120.7274,9715.3018,86.8342
1320,120.7219,9717.6807,86.8375
1321,120.7584,9715.8125,86.8268
1322,120.7905,9721.1221,86.8186
1323,120.7905,9729.0977,86.8118
1324,120.7974,9734.9014,86.8037
1325,120.8389,9745.4346,86.793
1326,120.8545,9750.4766,86.7849
1327,120.9343,9753.3975,86.7758
1328,120.9296,9759.0332,86.7632
1329,120.9937,9769.4414,86.7532
1330,121.0366,9777.1016,86.7472
1331,121.0816,9775.8926,86.7389
1332,121.1148,9776.8125,86.7329
1333,121.1943,9774.4434,86.7228
1334,121.1261,9782.1963,86.7135
1335,121.1527,9784.3467,86.7064
1336,121.1754,9790.6953,86.6986
1337,121.1849,9795.1094,86.691
1338,121.1906,9806.5645,86.6827
1339,121.1628,9808.9473,86.677
1340,121.1834,9818.7021,86.6786
1341,121.3231,9820.8701,86.6706
1342,121.2879,9831.126,86.6617
1343,121.2843,9840.9531,86.6539
1344,121.3361,9853.7197,86.6459
1345,121.3636,9855.4434,86.6367
1346,121.4243,9853.4004,86.6283
1347,121.4988,9860.0859,86.6197
1348,121.5035,9865.3623,86.6125
1349,121.5258,9873.4209,86.6025
1350,121.5492,9887.5225,86.5908
1351,121.5726,9895.8477,86.5822
1352,121.5719,9897.8535,86.5745
1353,121.6204,9900.9336,86.5674
1354,121.5984,9903.3447,86.5582
1355,121.6284,9911.8604,86.5517
1356,121.6585,9912.5332,86.5406
1357,121.6766,9920.3975,86.5324
1358,121.7233,9927.8184,86.5271
1359,121.6749,9944.1133,86.5203
1360,121.6933,9946.1299,86.5256
1361,121.6955,9962.7617,86.5175
1362,121.8053,9964.8965,86.5103
1363,121.7946,9971.2314,86.5036
1364,121.8037,9980.0771,86.496
1365,121.849,9994.8936,86.489
1366,121.8982,9999.7617,86.4802
1367,121.9131,10007.9414,86.4731
1368,121.9816,10012.3359,86.4636
1369,121.9905,10021.9717,86.4532
1370,121.9669,10030.916,86.4439
1371,122.0575,10046.5986,86.4349
1372,122.1359,10038.7939,86.4284
1373,122.1446,10050.043,86.4214
1374,122.1541,10057.0215,86.4155
1375,122.1406,10060.5049,86.4096
1376,122.1958,10083.9805,86.3994
1377,122.185,10092.627,86.392
1378,122.2359,10102.1885,86.3819
1379,122.2707,10112.1387,86.3715
1380,122.3439,10117.4043,86.3751
1381,122.3519,10123.5605,86.3664
1382,122.4383,10126.4248,86.3592
1383,122.4873,10125.7441,86.3507
1384,122.5367,10140.2695,86.3418
1385,122.5892,10145.8447,86.3348
1386,122.6191,10159.7949,86.3276
1387,122.6247,10163.7383,86.3206
1388,122.7304,10170.0566,86.3132
1389,122.7958,10182.8926,86.3052
1390,122.802,10188.8516,86.3004
1391,122.7645,10202.2363,86.2905
1392,122.8842,10208.1387,86.2828
1393,122.8942,10204.6396,86.2736
1394,122.9337,10210.6006,86.2649
1395,122.9435,10221.8018,86.2554
1396,122.9942,10232.707,86.2461
1397,122.9856,10230.8486,86.2399
1398,123.0189,10249.0625,86.2315
1399,123.1118,10264.0078,86.2229
1400,123.138,10261.29,86.2251
1401,123.1376,10263.4727,86.2133
1402,123.1659,10273.3457,86.204
1403,123.1964,10282.5371,86.1945
1404,123.2108,10296.4561,86.1872
1405,123.2353,10309.7783,86.1773
1406,123.2668,10314.7588,86.1704
1407,123.2717,10327.209,86.1613
1408,123.3729,10338.3848,86.1521
1409,123.3683,10339.3223,86.1468
1410,123.4136,10342.8408,86.1401
1411,123.5324,10347.9209,86.1315
1412,123.5366,10350.9521,86.125
1413,123.6014,10359.5332,86.1196
1414,123.6661,10368.8584,86.1121
1415,123.7044,10378.0947,86.1075
1416,123.7066,10388.3711,86.0996
1417,123.7385,10399.6709,86.0924
1418,123.7242,10402.5166,86.0862
1419,123.8072,10409.9277,86.0777
1420,123.834,10420.293,86.0803
1421,123.8775,10421.5479,86.0702
1422,123.918,10422.2012,86.0608
1423,123.9482,10429.5615,86.0533
1424,124.0275,10429.4463,86.044
1425,124.0427,10431.4795,86.0366
1426,123.9947,10447.8486,86.0307
1427,123.989,10451.9619,86.024
1428,124.0176,10462.1777,86.0175
1429,124.0865,10462.6533,86.0105
1430,124.1116,10460.7705,86.0016
1431,124.1958,10465.4922,85.9937
1432,124.2419,10474.7451,85.984
1433,124.2705,10483.3174,85.9764
1434,124.2934,10494.4189,85.9675
1435,124.2915,10504.6768,85.9576
1436,124.2887,10517.9941,85.9491
1437,124.2845,10529.2119,85.9439
1438,124.2981,10530.4961,85.9364
1439,124.2796,10540.6631,85.9315
1440,124.3333,10543.0371,85.9337
1441,124.3557,10556.1445,85.9254
1442,124.3043,10561.7217,85.92
1443,124.3852,10555.5459,85.9101
1444,124.3685,10567.7002,85.9031
1445,124.3979,10577.6328,85.8967
1446,124.4353,10588.9268,85.8896
1447,124.4139,10588.6689,85.882
1448,124.518,10583.5068,85.8739
1449,124.5601,10574.7666,85.865
1450,124.6007,10591.5098,85.8556
1451,124.6492,10600.7139,85.8458
1452,124.693,10607.3252,85.8392
1453,124.7096,10620.5195,85.8329
1454,124.7682,10635.249,85.8231
1455,124.7442,10631.0,85.8159
1456,124.7772,10631.8311,85.8098
1457,124.807,10643.2461,85.8003
1458,124.9411,10649.4316,85.793
1459,124.9541,10659.0029,85.7851
1460,124.9842,10667.3066,85.7877
1461,125.0746,10666.957,85.7758
1462,125.1077,10680.9912,85.7671
1463,125.1391,10687.7705,85.7611
1464,125.1461,10706.8936,85.7533
1465,125.2205,10716.4443,85.7471
1466,125.212,10716.2412,85.74
1467,125.2571,10715.2061,85.7307
1468,125.3369,10726.5088,85.7238
1469,125.3958,10730.4922,85.7162
1470,125.363,10732.2959,85.7087
1471,125.4272,10732.2969,85.7012
1472,125.387,10733.8242,85.695
1473,125.4667,10736.4326,85.6868
1474,125.4923,10744.915,85.6813
1475,125.4733,10747.0635,85.6722
1476,125.4666,10752.541,85.6645
1477,125.4968,10770.2998,85.6563
1478,125.5634,10774.9521,85.6485
1479,125.6456,10786.8643,85.6428
1480,125.6244,10793.4805,85.6465
1481,125.6916,10805.6191,85.6375
1482,125.6573,10815.0713,85.628
1483,125.6562,10817.4648,85.6203
1484,125.7222,10818.875,85.6067
1485,125.6096,10823.5059,85.5986
1486,125.6366,10829.7783,85.5919
1487,125.6616,10833.126,85.5817
1488,125.6951,10839.5908,85.5731
1489,125.7094,10849.3047,85.5641
1490,125.7929,10854.3438,85.5561
1491,125.8223,10855.4316,85.5487
1492,125.8208,10865.3066,85.543
1493,125.8688,10858.6094,85.535
1494,125.859,10874.9492,85.5291
1495,125.8969,10883.6328,85.5182
1496,125.9637,10892.3135,85.5109
1497,125.9873,10898.7822,85.5048
1498,126.0148,10898.7021,85.498
1499,126.0665,10899.4395,85.4897
1500,126.0833,10909.5098,85.491
1501,126.0829,10923.8994,85.4834
1502,126.1115,10936.9404,85.4771
1503,126.1918,10950.707,85.471
1504,126.1777,10966.3877,85.4647
1505,126.243,10974.6367,85.458
1506,126.2847,10977.7354,85.4517
1507,126.2958,10985.1064,85.4439
1508,126.3076,10978.6182,85.4345
1509,126.3636,10977.4375,85.4262
1510,126.4175,10984.5039,85.4182
1511,126.5058,11001.4023,85.4109
1512,126.479,11012.0967,85.4019
1513,126.4894,11027.4111,85.3959
1514,126.4928,11041.79,85.3894
1515,126.5591,11039.4199,85.3829
1516,126.5887,11048.123,85.3737
1517,126.6285,11066.7744,85.3666
1518,126.6435,11075.2324,85.3596
1519,126.632,11085.1152,85.3522
1520,126.7298,11084.4668,85.3553
1521,126.8018,11092.0752,85.3483
1522,126.9103,11101.0771,85.3437
1523,126.8854,11100.4746,85.3333
1524,126.927,11111.9004,85.3258
1525,126.9378,11128.0381,85.3186
1526,126.9618,11138.8145,85.3124
1527,127.0786,11150.8076,85.3037
1528,127.0837,11158.8936,85.2947
1529,127.1297,11163.416,85.2889
1530,127.1381,11176.5479,85.2831
1531,127.181,11190.6758,85.2773
1532,127.2133,11205.6279,85.2702
1533,127.21,11219.3398,85.262
1534,127.2685,11226.959,85.2534
1535,127.3475,11239.0625,85.2475
1536,127.3385,11255.6592,85.2394
1537,127.3279,11269.1953,85.2325
1538,127.4411,11278.0215,85.2268
1539,127.4972,11288.7949,85.2184
1540,127.5037,11298.8027,85.2218
1541,127.5153,11311.4697,85.2139
1542,127.4983,11313.0791,85.2063
1543,127.492,11313.5156,85.1979
1544,127.4841,11327.4326,85.1903
1545,127.513,11347.6035,85.1853
1546,127.6058,11355.5146,85.1793
1547,127.6071,11359.8428,85.1722
1548,127.6337,11364.3242,85.165
1549,127.7215,11373.8408,85.1581
