Using device: cuda
Dataset not found at data/symbolic_reasoning/train.pt. Generating now...
Generating train set (5000)...
Generating val set (1000)...
Generating test set (1000)...
Dataset generation complete.

Training Model with gamma = 0.0
Gamma 0.10 | Epoch 78 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 79 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 80 | Loss: 0.0001 | Acc: 100.0%
Gamma 0.10 | Epoch 81 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 82 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 83 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 84 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 85 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 86 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 87 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 88 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 89 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 90 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 91 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 92 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 93 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 94 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 95 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 96 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 97 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 98 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 99 | Loss: 0.0000 | Acc: 100.0%
Gamma 0.10 | Epoch 100 | Loss: 0.0000 | Acc: 100.0%

Training Model with gamma = 0.25
Gamma 0.25 | Epoch 01 | Loss: 0.9498 | Acc: 100.0%
Gamma 0.25 | Epoch 02 | Loss: 0.0887 | Acc: 100.0%
Gamma 0.25 | Epoch 03 | Loss: 0.0395 | Acc: 100.0%
Gamma 0.25 | Epoch 04 | Loss: 0.0230 | Acc: 100.0%
Gamma 0.25 | Epoch 05 | Loss: 0.0153 | Acc: 100.0%
Gamma 0.25 | Epoch 06 | Loss: 0.0110 | Acc: 100.0%
Gamma 0.25 | Epoch 07 | Loss: 0.0084 | Acc: 100.0%
Gamma 0.25 | Epoch 08 | Loss: 0.0066 | Acc: 100.0%
Gamma 0.25 | Epoch 09 | Loss: 0.0053 | Acc: 100.0%
Gamma 0.25 | Epoch 10 | Loss: 0.0044 | Acc: 100.0%
Gamma 0.25 | Epoch 11 | Loss: 0.0037 | Acc: 100.0%
Gamma 0.25 | Epoch 12 | Loss: 0.0031 | Acc: 100.0%
Gamma 0.25 | Epoch 13 | Loss: 0.0027 | Acc: 100.0%
Gamma 0.25 | Epoch 14 | Loss: 0.0024 | Acc: 100.0%
Gamma 0.25 | Epoch 15 | Loss: 0.0021 | Acc: 100.0%
Gamma 0.25 | Epoch 16 | Loss: 0.0018 | Acc: 100.0%
Gamma 0.25 | Epoch 17 | Loss: 0.0016 | Acc: 100.0%
Gamma 0.25 | Epoch 18 | Loss: 0.0015 | Acc: 100.0%
Gamma 0.25 | Epoch 19 | Loss: 0.0013 | Acc: 100.0%
Gamma 0.25 | Epoch 20 | Loss: 0.0012 | Acc: 100.0%
Gamma 0.25 | Epoch 21 | Loss: 0.0011 | Acc: 100.0%
Gamma 0.25 | Epoch 22 | Loss: 0.0010 | Acc: 100.0%
Gamma 0.25 | Epoch 23 | Loss: 0.0009 | Acc: 100.0%
Gamma 0.25 | Epoch 24 | Loss: 0.0008 | Acc: 100.0%
Gamma 0.25 | Epoch 25 | Loss: 0.0008 | Acc: 100.0%
Gamma 0.25 | Epoch 26 | Loss: 0.0007 | Acc: 100.0%
Gamma 0.25 | Epoch 27 | Loss: 0.0007 | Acc: 100.0%
Gamma 0.25 | Epoch 28 | Loss: 0.0006 | Acc: 100.0%
Gamma 0.25 | Epoch 29 | Loss: 0.0006 | Acc: 100.0%
Gamma 0.25 | Epoch 30 | Loss: 0.0005 | Acc: 100.0%
Gamma 0.25 | Epoch 31 | Loss: 0.0005 | Acc: 100.0%
Gamma 0.25 | Epoch 32 | Loss: 0.0005 | Acc: 100.0%
Gamma 0.25 | Epoch 33 | Loss: 0.0004 | Acc: 100.0%
Gamma 0.25 | Epoch 34 | Loss: 0.0004 | Acc: 100.0%
Gamma 0.25 | Epoch 35 | Loss: 0.0004 | Acc: 100.0%
Gamma 0.25 | Epoch 36 | Loss: 0.0004 | Acc: 100.0%
Gamma 0.25 | Epoch 37 | Loss: 0.0003 | Acc: 100.0%
Gamma 0.25 | Epoch 38 | Loss: 0.0003 | Acc: 100.0%
Gamma 0.25 | Epoch 39 | Loss: 0.0003 | Acc: 100.0%
Gamma 0.25 | Epoch 40 | Loss: 0.0003 | Acc: 100.0%
Gamma 0.25 | Epoch 41 | Loss: 0.0003 | Acc: 100.0%
