--- Training Model: Model A (Baseline) (gamma=0.0) ---
Epoch 2 | Loss: 0.7357 | Val Acc: 49.0%
Epoch 3 | Loss: 0.7172 | Val Acc: 51.0%
Epoch 4 | Loss: 0.7109 | Val Acc: 51.0%
Epoch 5 | Loss: 0.7034 | Val Acc: 51.0%
Epoch 6 | Loss: 0.7021 | Val Acc: 49.0%
Epoch 7 | Loss: 0.7001 | Val Acc: 51.0%
Epoch 8 | Loss: 0.6987 | Val Acc: 49.0%
Epoch 9 | Loss: 0.6976 | Val Acc: 51.2%
Epoch 10 | Loss: 0.6940 | Val Acc: 54.5%
Epoch 11 | Loss: 0.6910 | Val Acc: 49.2%
Epoch 12 | Loss: 0.6904 | Val Acc: 50.5%
Epoch 13 | Loss: 0.6867 | Val Acc: 53.8%
Epoch 14 | Loss: 0.6790 | Val Acc: 54.0%
Epoch 15 | Loss: 0.6776 | Val Acc: 49.2%
Epoch 16 | Loss: 0.6804 | Val Acc: 49.5%
Epoch 17 | Loss: 0.6701 | Val Acc: 51.5%
Epoch 18 | Loss: 0.6638 | Val Acc: 52.0%
Epoch 19 | Loss: 0.6619 | Val Acc: 49.8%
Epoch 20 | Loss: 0.6569 | Val Acc: 51.2%
Epoch 21 | Loss: 0.6490 | Val Acc: 50.5%
Epoch 22 | Loss: 0.6466 | Val Acc: 48.8%
Epoch 23 | Loss: 0.6336 | Val Acc: 52.0%
Epoch 24 | Loss: 0.6404 | Val Acc: 53.0%
Epoch 25 | Loss: 0.6249 | Val Acc: 52.0%
Epoch 26 | Loss: 0.6104 | Val Acc: 50.2%
Epoch 27 | Loss: 0.6172 | Val Acc: 48.8%
Epoch 28 | Loss: 0.6102 | Val Acc: 46.8%
Epoch 29 | Loss: 0.6006 | Val Acc: 53.0%
Epoch 30 | Loss: 0.5942 | Val Acc: 51.0%
Epoch 31 | Loss: 0.5789 | Val Acc: 50.0%
Epoch 32 | Loss: 0.5737 | Val Acc: 48.8%
Epoch 33 | Loss: 0.5611 | Val Acc: 51.5%
Epoch 34 | Loss: 0.5482 | Val Acc: 46.5%
Epoch 35 | Loss: 0.5511 | Val Acc: 49.0%
Epoch 36 | Loss: 0.5505 | Val Acc: 45.0%
Epoch 37 | Loss: 0.5413 | Val Acc: 48.5%
Epoch 38 | Loss: 0.5383 | Val Acc: 52.2%
Epoch 39 | Loss: 0.5245 | Val Acc: 48.2%
Epoch 40 | Loss: 0.5137 | Val Acc: 49.8%
Epoch 41 | Loss: 0.4972 | Val Acc: 50.2%
Epoch 42 | Loss: 0.5010 | Val Acc: 51.2%
Epoch 43 | Loss: 0.4944 | Val Acc: 49.2%
Epoch 44 | Loss: 0.4824 | Val Acc: 49.2%
Epoch 45 | Loss: 0.5077 | Val Acc: 50.7%
Epoch 46 | Loss: 0.4647 | Val Acc: 49.2%
Epoch 47 | Loss: 0.4485 | Val Acc: 49.0%
Epoch 48 | Loss: 0.4634 | Val Acc: 53.0%
Epoch 49 | Loss: 0.4531 | Val Acc: 48.2%
Epoch 50 | Loss: 0.4560 | Val Acc: 49.0%
Epoch 51 | Loss: 0.4472 | Val Acc: 48.2%
Epoch 52 | Loss: 0.4422 | Val Acc: 52.8%
Epoch 53 | Loss: 0.4132 | Val Acc: 49.8%
Epoch 54 | Loss: 0.4104 | Val Acc: 51.0%
Epoch 55 | Loss: 0.4021 | Val Acc: 52.5%
Epoch 56 | Loss: 0.4091 | Val Acc: 49.5%
Epoch 57 | Loss: 0.4145 | Val Acc: 49.8%
Epoch 58 | Loss: 0.4103 | Val Acc: 54.8%
Epoch 59 | Loss: 0.3900 | Val Acc: 50.7%
Epoch 60 | Loss: 0.3730 | Val Acc: 50.2%
Epoch 61 | Loss: 0.3791 | Val Acc: 52.5%
Epoch 62 | Loss: 0.3944 | Val Acc: 51.2%
Epoch 63 | Loss: 0.3420 | Val Acc: 52.0%
Epoch 64 | Loss: 0.3533 | Val Acc: 50.7%
Epoch 65 | Loss: 0.3269 | Val Acc: 52.0%
Epoch 66 | Loss: 0.3613 | Val Acc: 53.0%
Epoch 67 | Loss: 0.3466 | Val Acc: 52.0%
Epoch 68 | Loss: 0.3302 | Val Acc: 51.2%
Epoch 69 | Loss: 0.3252 | Val Acc: 52.5%
Epoch 70 | Loss: 0.3234 | Val Acc: 55.0%
Epoch 71 | Loss: 0.3216 | Val Acc: 55.8%
Epoch 72 | Loss: 0.3241 | Val Acc: 53.8%
Epoch 73 | Loss: 0.3084 | Val Acc: 52.2%
Epoch 74 | Loss: 0.2883 | Val Acc: 53.5%
Epoch 75 | Loss: 0.2937 | Val Acc: 54.2%
Epoch 76 | Loss: 0.2907 | Val Acc: 54.2%
Epoch 77 | Loss: 0.2970 | Val Acc: 53.2%
Epoch 78 | Loss: 0.2924 | Val Acc: 53.8%
Epoch 79 | Loss: 0.2775 | Val Acc: 53.8%
Epoch 80 | Loss: 0.2527 | Val Acc: 56.2%
Epoch 81 | Loss: 0.2734 | Val Acc: 55.0%
Epoch 82 | Loss: 0.2465 | Val Acc: 54.0%
Epoch 83 | Loss: 0.2654 | Val Acc: 56.0%
Epoch 84 | Loss: 0.2231 | Val Acc: 55.5%
Epoch 85 | Loss: 0.2425 | Val Acc: 55.8%
Epoch 86 | Loss: 0.2234 | Val Acc: 56.5%
Epoch 87 | Loss: 0.2323 | Val Acc: 55.8%
Epoch 88 | Loss: 0.2272 | Val Acc: 59.5%
Epoch 89 | Loss: 0.2407 | Val Acc: 57.2%
Epoch 90 | Loss: 0.2306 | Val Acc: 56.5%
Epoch 91 | Loss: 0.2210 | Val Acc: 56.8%
Epoch 92 | Loss: 0.2391 | Val Acc: 59.5%
Epoch 93 | Loss: 0.2150 | Val Acc: 58.2%
Epoch 94 | Loss: 0.2063 | Val Acc: 57.0%
Epoch 95 | Loss: 0.1820 | Val Acc: 56.5%
Epoch 96 | Loss: 0.2151 | Val Acc: 60.8%
Epoch 97 | Loss: 0.2071 | Val Acc: 60.2%
Epoch 98 | Loss: 0.2066 | Val Acc: 60.8%
Epoch 99 | Loss: 0.1760 | Val Acc: 59.5%
Epoch 100 | Loss: 0.1891 | Val Acc: 62.3%
