============================================================
🚀 Starting Phase C1: Delayed Recall Task (Delay = 10)
============================================================
📦 Config: D_model=64, Layers=2, SeqLen=200
🔄 Epochs: 100, Batch Size: 32
------------------------------------------------------------
Epoch 001/100: 100% 63/63 [01:14<00:00,  1.19s/it, Loss=2.9537, A_kappa=2.0e+02, S_norm=238.9, Mem(MB)=21]
Epoch 002/100: 100% 63/63 [01:12<00:00,  1.16s/it, Loss=2.9348, A_kappa=1.7e+02, S_norm=114.5, Mem(MB)=21]
Epoch 003/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=2.6230, A_kappa=1.5e+02, S_norm=289.4, Mem(MB)=21]
Epoch 004/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=1.9425, A_kappa=1.6e+02, S_norm=296.7, Mem(MB)=21]
Epoch 005/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=1.3823, A_kappa=1.8e+02, S_norm=240.2, Mem(MB)=21]
Epoch 006/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.9036, A_kappa=2.1e+02, S_norm=326.6, Mem(MB)=21]
Epoch 007/100: 100% 63/63 [01:13<00:00,  1.16s/it, Loss=0.6211, A_kappa=2.1e+02, S_norm=326.4, Mem(MB)=21]
Epoch 008/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.3925, A_kappa=2.3e+02, S_norm=330.3, Mem(MB)=21]
Epoch 009/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.2890, A_kappa=2.0e+02, S_norm=363.1, Mem(MB)=21]
Epoch 010/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.2405, A_kappa=2.1e+02, S_norm=404.4, Mem(MB)=21]
Epoch 011/100: 100% 63/63 [01:13<00:00,  1.16s/it, Loss=0.1972, A_kappa=2.1e+02, S_norm=428.8, Mem(MB)=21]
Epoch 012/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.1600, A_kappa=2.1e+02, S_norm=471.6, Mem(MB)=21]
Epoch 013/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.1239, A_kappa=2.1e+02, S_norm=454.1, Mem(MB)=21]
Epoch 014/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.1206, A_kappa=2.0e+02, S_norm=477.9, Mem(MB)=21]
Epoch 015/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0962, A_kappa=2.1e+02, S_norm=472.6, Mem(MB)=21]
Epoch 016/100: 100% 63/63 [01:13<00:00,  1.16s/it, Loss=0.1062, A_kappa=2.1e+02, S_norm=441.5, Mem(MB)=21]
Epoch 017/100: 100% 63/63 [01:12<00:00,  1.16s/it, Loss=0.0948, A_kappa=2.0e+02, S_norm=457.4, Mem(MB)=21]
Epoch 018/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0821, A_kappa=2.1e+02, S_norm=514.8, Mem(MB)=21]
Epoch 019/100: 100% 63/63 [01:13<00:00,  1.16s/it, Loss=0.0575, A_kappa=1.9e+02, S_norm=547.4, Mem(MB)=21]
Epoch 020/100: 100% 63/63 [01:13<00:00,  1.16s/it, Loss=0.0611, A_kappa=1.9e+02, S_norm=502.8, Mem(MB)=21]
Epoch 021/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0744, A_kappa=2.0e+02, S_norm=512.8, Mem(MB)=21]
Epoch 022/100: 100% 63/63 [01:13<00:00,  1.16s/it, Loss=0.0755, A_kappa=1.8e+02, S_norm=517.6, Mem(MB)=21]
Epoch 023/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0482, A_kappa=1.8e+02, S_norm=490.1, Mem(MB)=21]
