============================================================
🚀 Starting Phase C1: Delayed Recall Task (Delay = 5)
============================================================
📦 Config: D_model=64, Layers=2, SeqLen=200
🔄 Epochs: 100, Batch Size: 32
------------------------------------------------------------
Epoch 041/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0144, A_kappa=1.0e+02, S_norm=534.6, Mem(MB)=21]
Epoch 042/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0153, A_kappa=1.0e+02, S_norm=536.6, Mem(MB)=21]
Epoch 043/100: 100% 63/63 [01:13<00:00,  1.17s/it, Loss=0.0106, A_kappa=1.0e+02, S_norm=517.9, Mem(MB)=21]
Epoch 044/100: 100% 63/63 [01:12<00:00,  1.14s/it, Loss=0.0190, A_kappa=1.1e+02, S_norm=505.3, Mem(MB)=21]
Epoch 045/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0147, A_kappa=1.2e+02, S_norm=562.5, Mem(MB)=21]
Epoch 046/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0151, A_kappa=1.1e+02, S_norm=503.3, Mem(MB)=21]
Epoch 047/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0100, A_kappa=1.2e+02, S_norm=562.0, Mem(MB)=21]
Epoch 048/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0152, A_kappa=1.1e+02, S_norm=550.6, Mem(MB)=21]
Epoch 049/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0187, A_kappa=1.1e+02, S_norm=539.7, Mem(MB)=21]
Epoch 050/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0154, A_kappa=1.1e+02, S_norm=559.5, Mem(MB)=21]
Epoch 051/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0085, A_kappa=1.1e+02, S_norm=524.3, Mem(MB)=21]
Epoch 052/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0145, A_kappa=1.1e+02, S_norm=541.6, Mem(MB)=21]
Epoch 053/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0133, A_kappa=1.2e+02, S_norm=553.3, Mem(MB)=21]
Epoch 054/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0118, A_kappa=1.1e+02, S_norm=515.0, Mem(MB)=21]
Epoch 055/100: 100% 63/63 [01:13<00:00,  1.17s/it, Loss=0.0115, A_kappa=1.2e+02, S_norm=590.1, Mem(MB)=21]
Epoch 056/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0088, A_kappa=1.2e+02, S_norm=554.5, Mem(MB)=21]
Epoch 057/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0115, A_kappa=1.1e+02, S_norm=519.2, Mem(MB)=21]
Epoch 058/100: 100% 63/63 [01:13<00:00,  1.16s/it, Loss=0.0135, A_kappa=1.1e+02, S_norm=577.1, Mem(MB)=21]
Epoch 059/100: 100% 63/63 [01:13<00:00,  1.17s/it, Loss=0.0161, A_kappa=1.2e+02, S_norm=584.3, Mem(MB)=21]
Epoch 060/100: 100% 63/63 [01:13<00:00,  1.16s/it, Loss=0.0084, A_kappa=1.1e+02, S_norm=551.4, Mem(MB)=21]
Epoch 061/100: 100% 63/63 [01:13<00:00,  1.16s/it, Loss=0.0092, A_kappa=1.1e+02, S_norm=573.8, Mem(MB)=21]
Epoch 062/100: 100% 63/63 [01:13<00:00,  1.16s/it, Loss=0.0072, A_kappa=1.1e+02, S_norm=579.6, Mem(MB)=21]
Epoch 063/100: 100% 63/63 [01:12<00:00,  1.16s/it, Loss=0.0112, A_kappa=1.1e+02, S_norm=577.8, Mem(MB)=21]
Epoch 064/100: 100% 63/63 [01:12<00:00,  1.16s/it, Loss=0.0095, A_kappa=1.1e+02, S_norm=562.2, Mem(MB)=21]
Epoch 065/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0066, A_kappa=1.1e+02, S_norm=558.3, Mem(MB)=21]
Epoch 066/100: 100% 63/63 [01:13<00:00,  1.17s/it, Loss=0.0059, A_kappa=1.2e+02, S_norm=632.9, Mem(MB)=21]
Epoch 067/100: 100% 63/63 [01:13<00:00,  1.16s/it, Loss=0.0085, A_kappa=1.1e+02, S_norm=535.7, Mem(MB)=21]
Epoch 068/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0104, A_kappa=1.1e+02, S_norm=549.6, Mem(MB)=21]
Epoch 069/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0174, A_kappa=1.2e+02, S_norm=551.0, Mem(MB)=21]
Epoch 070/100: 100% 63/63 [01:12<00:00,  1.16s/it, Loss=0.0121, A_kappa=1.1e+02, S_norm=512.4, Mem(MB)=21]
Epoch 071/100: 100% 63/63 [01:12<00:00,  1.16s/it, Loss=0.0055, A_kappa=1.1e+02, S_norm=535.0, Mem(MB)=21]
Epoch 072/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0060, A_kappa=1.2e+02, S_norm=559.4, Mem(MB)=21]
Epoch 073/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0140, A_kappa=1.3e+02, S_norm=604.9, Mem(MB)=21]
Epoch 074/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0102, A_kappa=1.1e+02, S_norm=542.4, Mem(MB)=21]
Epoch 075/100: 100% 63/63 [01:12<00:00,  1.14s/it, Loss=0.0060, A_kappa=1.2e+02, S_norm=571.3, Mem(MB)=21]
Epoch 076/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0069, A_kappa=1.1e+02, S_norm=517.6, Mem(MB)=21]
Epoch 077/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0054, A_kappa=1.2e+02, S_norm=575.7, Mem(MB)=21]
Epoch 078/100: 100% 63/63 [01:12<00:00,  1.14s/it, Loss=0.0135, A_kappa=1.2e+02, S_norm=513.0, Mem(MB)=21]
Epoch 079/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0039, A_kappa=1.1e+02, S_norm=513.3, Mem(MB)=21]
Epoch 080/100: 100% 63/63 [01:12<00:00,  1.16s/it, Loss=0.0046, A_kappa=1.2e+02, S_norm=555.8, Mem(MB)=21]
Epoch 081/100: 100% 63/63 [01:12<00:00,  1.16s/it, Loss=0.0114, A_kappa=1.1e+02, S_norm=563.0, Mem(MB)=21]
Epoch 082/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0100, A_kappa=1.1e+02, S_norm=533.3, Mem(MB)=21]
Epoch 083/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0065, A_kappa=1.2e+02, S_norm=604.1, Mem(MB)=21]
Epoch 084/100: 100% 63/63 [01:12<00:00,  1.16s/it, Loss=0.0065, A_kappa=1.3e+02, S_norm=584.6, Mem(MB)=21]
Epoch 085/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0053, A_kappa=1.3e+02, S_norm=560.8, Mem(MB)=21]
Epoch 086/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0048, A_kappa=1.2e+02, S_norm=542.7, Mem(MB)=21]
Epoch 087/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0045, A_kappa=1.2e+02, S_norm=568.3, Mem(MB)=21]
Epoch 088/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0082, A_kappa=1.1e+02, S_norm=550.3, Mem(MB)=21]
Epoch 089/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0051, A_kappa=1.2e+02, S_norm=543.0, Mem(MB)=21]
Epoch 090/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0117, A_kappa=1.2e+02, S_norm=564.6, Mem(MB)=21]
Epoch 091/100: 100% 63/63 [01:12<00:00,  1.16s/it, Loss=0.0065, A_kappa=1.2e+02, S_norm=549.9, Mem(MB)=21]
Epoch 092/100: 100% 63/63 [01:13<00:00,  1.16s/it, Loss=0.0053, A_kappa=1.2e+02, S_norm=567.8, Mem(MB)=21]
Epoch 093/100: 100% 63/63 [01:12<00:00,  1.16s/it, Loss=0.0059, A_kappa=1.1e+02, S_norm=502.9, Mem(MB)=21]
Epoch 094/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0077, A_kappa=1.3e+02, S_norm=593.6, Mem(MB)=21]
Epoch 095/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0026, A_kappa=1.4e+02, S_norm=566.2, Mem(MB)=21]
Epoch 096/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0043, A_kappa=1.3e+02, S_norm=552.2, Mem(MB)=21]
Epoch 097/100: 100% 63/63 [01:12<00:00,  1.16s/it, Loss=0.0105, A_kappa=1.3e+02, S_norm=534.9, Mem(MB)=21]
Epoch 098/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0052, A_kappa=1.4e+02, S_norm=595.3, Mem(MB)=21]
Epoch 099/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0142, A_kappa=1.3e+02, S_norm=518.5, Mem(MB)=21]
Epoch 100/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0032, A_kappa=1.4e+02, S_norm=605.8, Mem(MB)=21]
✅ Epoch 100 Completed | Avg Loss: 0.0067
------------------------------------------------------------
📈 Evaluating Accuracy...
Delay 5 Task Final Accuracy: 99.79%
