============================================================
🚀 Starting Phase C1: Delayed Recall Task (Delay = 20)
============================================================
📦 Config: D_model=64, Layers=2, SeqLen=200
🔄 Epochs: 100, Batch Size: 32
------------------------------------------------------------
Epoch 001/100: 100% 63/63 [01:15<00:00,  1.19s/it, Loss=2.9519, A_kappa=2.2e+02, S_norm=176.3, Mem(MB)=21]
Epoch 002/100: 100% 63/63 [01:14<00:00,  1.18s/it, Loss=2.9456, A_kappa=2.1e+02, S_norm=90.3, Mem(MB)=21]
Epoch 003/100: 100% 63/63 [01:14<00:00,  1.18s/it, Loss=2.9396, A_kappa=2.3e+02, S_norm=130.9, Mem(MB)=21]
Epoch 004/100: 100% 63/63 [01:14<00:00,  1.18s/it, Loss=2.8237, A_kappa=1.3e+02, S_norm=210.0, Mem(MB)=21]
Epoch 005/100: 100% 63/63 [01:13<00:00,  1.17s/it, Loss=2.2020, A_kappa=1.6e+02, S_norm=263.3, Mem(MB)=21]
Epoch 006/100: 100% 63/63 [01:15<00:00,  1.20s/it, Loss=1.6442, A_kappa=1.9e+02, S_norm=258.4, Mem(MB)=21]
Epoch 007/100: 100% 63/63 [01:14<00:00,  1.18s/it, Loss=1.2296, A_kappa=2.3e+02, S_norm=276.9, Mem(MB)=21]
Epoch 008/100: 100% 63/63 [01:13<00:00,  1.16s/it, Loss=0.8430, A_kappa=2.4e+02, S_norm=303.4, Mem(MB)=21]
Epoch 009/100: 100% 63/63 [01:13<00:00,  1.16s/it, Loss=0.6098, A_kappa=2.5e+02, S_norm=307.0, Mem(MB)=21]
Epoch 010/100: 100% 63/63 [01:13<00:00,  1.16s/it, Loss=0.4510, A_kappa=2.6e+02, S_norm=342.7, Mem(MB)=21]
Epoch 011/100: 100% 63/63 [01:15<00:00,  1.19s/it, Loss=0.3954, A_kappa=2.5e+02, S_norm=327.9, Mem(MB)=21]
