============================================================
🚀 Starting Phase C1: Associative Key-Value Recall Task
============================================================
📦 Config: D_model=64, Layers=2, Pairs=15
🔄 Epochs: 100, Batch Size: 32
------------------------------------------------------------
Epoch 041/100: 100% 94/94 [00:21<00:00,  4.29it/s, Loss=4.5900, A_kappa=1.1e+03, S_norm=1005.2, Mem(MB)=21]
Epoch 042/100: 100% 94/94 [00:21<00:00,  4.32it/s, Loss=4.5935, A_kappa=1.1e+03, S_norm=936.5, Mem(MB)=21]
Epoch 043/100: 100% 94/94 [00:21<00:00,  4.43it/s, Loss=4.5966, A_kappa=1.3e+03, S_norm=1252.6, Mem(MB)=21]
Epoch 044/100: 100% 94/94 [00:22<00:00,  4.27it/s, Loss=4.5987, A_kappa=1.2e+03, S_norm=1694.0, Mem(MB)=21]
Epoch 045/100: 100% 94/94 [00:21<00:00,  4.30it/s, Loss=4.5946, A_kappa=1.2e+03, S_norm=1378.5, Mem(MB)=21]
Epoch 046/100: 100% 94/94 [00:21<00:00,  4.31it/s, Loss=4.6009, A_kappa=1.4e+03, S_norm=1293.9, Mem(MB)=21]
Epoch 047/100: 100% 94/94 [00:21<00:00,  4.37it/s, Loss=4.6023, A_kappa=1.3e+03, S_norm=1162.8, Mem(MB)=21]
Epoch 048/100: 100% 94/94 [00:21<00:00,  4.33it/s, Loss=4.5878, A_kappa=1.5e+03, S_norm=990.2, Mem(MB)=21]
Epoch 049/100: 100% 94/94 [00:21<00:00,  4.32it/s, Loss=4.5979, A_kappa=1.2e+03, S_norm=1030.9, Mem(MB)=21]
Epoch 050/100: 100% 94/94 [00:21<00:00,  4.31it/s, Loss=4.5953, A_kappa=1.4e+03, S_norm=1402.7, Mem(MB)=21]
Epoch 051/100: 100% 94/94 [00:21<00:00,  4.31it/s, Loss=4.5992, A_kappa=1.4e+03, S_norm=1035.9, Mem(MB)=21]
Epoch 052/100: 100% 94/94 [00:21<00:00,  4.42it/s, Loss=4.6087, A_kappa=1.0e+03, S_norm=1185.5, Mem(MB)=21]
Epoch 053/100: 100% 94/94 [00:21<00:00,  4.31it/s, Loss=4.5982, A_kappa=1.2e+03, S_norm=1474.8, Mem(MB)=21]
Epoch 054/100: 100% 94/94 [00:21<00:00,  4.31it/s, Loss=4.5980, A_kappa=1.1e+03, S_norm=1503.5, Mem(MB)=21]
Epoch 055/100: 100% 94/94 [00:21<00:00,  4.31it/s, Loss=4.5983, A_kappa=1.4e+03, S_norm=1184.3, Mem(MB)=21]
Epoch 056/100: 100% 94/94 [00:21<00:00,  4.39it/s, Loss=4.5910, A_kappa=1.3e+03, S_norm=1088.1, Mem(MB)=21]
Epoch 057/100: 100% 94/94 [00:21<00:00,  4.30it/s, Loss=4.5952, A_kappa=1.3e+03, S_norm=1257.0, Mem(MB)=21]
Epoch 058/100: 100% 94/94 [00:21<00:00,  4.28it/s, Loss=4.5968, A_kappa=1.4e+03, S_norm=1227.9, Mem(MB)=21]
Epoch 059/100: 100% 94/94 [00:21<00:00,  4.30it/s, Loss=4.5968, A_kappa=1.2e+03, S_norm=1263.8, Mem(MB)=21]
Epoch 060/100: 100% 94/94 [00:21<00:00,  4.30it/s, Loss=4.5992, A_kappa=1.2e+03, S_norm=1070.9, Mem(MB)=21]
Epoch 061/100: 100% 94/94 [00:21<00:00,  4.42it/s, Loss=4.5999, A_kappa=1.2e+03, S_norm=1289.4, Mem(MB)=21]
Epoch 062/100: 100% 94/94 [00:21<00:00,  4.30it/s, Loss=4.5977, A_kappa=1.0e+03, S_norm=965.7, Mem(MB)=21]
Epoch 063/100: 100% 94/94 [00:21<00:00,  4.35it/s, Loss=4.5936, A_kappa=1.2e+03, S_norm=1253.6, Mem(MB)=21]
Epoch 064/100: 100% 94/94 [00:21<00:00,  4.35it/s, Loss=4.5958, A_kappa=1.3e+03, S_norm=1282.5, Mem(MB)=21]
Epoch 065/100: 100% 94/94 [00:21<00:00,  4.46it/s, Loss=4.5985, A_kappa=1.8e+03, S_norm=972.0, Mem(MB)=21]
Epoch 066/100: 100% 94/94 [00:21<00:00,  4.36it/s, Loss=4.5938, A_kappa=1.4e+03, S_norm=1243.6, Mem(MB)=21]
Epoch 067/100: 100% 94/94 [00:21<00:00,  4.32it/s, Loss=4.6073, A_kappa=1.5e+03, S_norm=1562.1, Mem(MB)=21]
Epoch 068/100: 100% 94/94 [00:21<00:00,  4.34it/s, Loss=4.5976, A_kappa=1.7e+03, S_norm=1547.2, Mem(MB)=21]
Epoch 069/100: 100% 94/94 [00:21<00:00,  4.44it/s, Loss=4.5967, A_kappa=2.0e+03, S_norm=1682.8, Mem(MB)=21]
Epoch 070/100: 100% 94/94 [00:21<00:00,  4.40it/s, Loss=4.6020, A_kappa=2.0e+03, S_norm=1376.1, Mem(MB)=21]
Epoch 071/100: 100% 94/94 [00:22<00:00,  4.20it/s, Loss=4.5965, A_kappa=2.2e+03, S_norm=1252.0, Mem(MB)=21]
Epoch 072/100: 100% 94/94 [00:22<00:00,  4.21it/s, Loss=4.5896, A_kappa=1.9e+03, S_norm=1001.0, Mem(MB)=21]
Epoch 073/100: 100% 94/94 [00:22<00:00,  4.17it/s, Loss=4.5907, A_kappa=2.4e+03, S_norm=1235.3, Mem(MB)=21]
Epoch 074/100: 100% 94/94 [00:21<00:00,  4.36it/s, Loss=4.6032, A_kappa=2.3e+03, S_norm=1281.5, Mem(MB)=21]
Epoch 075/100: 100% 94/94 [00:21<00:00,  4.39it/s, Loss=4.5946, A_kappa=2.5e+03, S_norm=1579.7, Mem(MB)=21]
Epoch 076/100: 100% 94/94 [00:21<00:00,  4.32it/s, Loss=4.5990, A_kappa=2.8e+03, S_norm=2120.7, Mem(MB)=21]
Epoch 077/100: 100% 94/94 [00:22<00:00,  4.20it/s, Loss=4.5967, A_kappa=3.3e+03, S_norm=1747.7, Mem(MB)=21]
Epoch 078/100: 100% 94/94 [00:22<00:00,  4.24it/s, Loss=4.5844, A_kappa=4.0e+03, S_norm=2629.7, Mem(MB)=21]
Epoch 079/100: 100% 94/94 [00:21<00:00,  4.39it/s, Loss=4.6008, A_kappa=4.7e+03, S_norm=3190.0, Mem(MB)=21]
Epoch 080/100: 100% 94/94 [00:21<00:00,  4.30it/s, Loss=4.5878, A_kappa=3.9e+03, S_norm=2597.8, Mem(MB)=21]
Epoch 081/100: 100% 94/94 [00:22<00:00,  4.24it/s, Loss=4.6024, A_kappa=4.1e+03, S_norm=2324.7, Mem(MB)=21]
Epoch 082/100: 100% 94/94 [00:22<00:00,  4.23it/s, Loss=4.5918, A_kappa=4.5e+03, S_norm=3431.7, Mem(MB)=21]
Epoch 083/100: 100% 94/94 [00:22<00:00,  4.22it/s, Loss=4.5983, A_kappa=4.3e+03, S_norm=2346.6, Mem(MB)=21]
Epoch 084/100: 100% 94/94 [00:21<00:00,  4.41it/s, Loss=4.5977, A_kappa=4.8e+03, S_norm=1971.4, Mem(MB)=21]
Epoch 085/100: 100% 94/94 [00:22<00:00,  4.27it/s, Loss=4.6005, A_kappa=4.8e+03, S_norm=3476.6, Mem(MB)=21]
Epoch 086/100: 100% 94/94 [00:21<00:00,  4.32it/s, Loss=4.5965, A_kappa=4.3e+03, S_norm=2139.8, Mem(MB)=21]
Epoch 087/100: 100% 94/94 [00:22<00:00,  4.24it/s, Loss=4.5947, A_kappa=3.7e+03, S_norm=2780.1, Mem(MB)=21]
Epoch 088/100: 100% 94/94 [00:21<00:00,  4.42it/s, Loss=4.5984, A_kappa=4.0e+03, S_norm=2912.6, Mem(MB)=21]
