============================================================
🚀 Starting Phase C1: Copy / Identity Task
============================================================
📦 Config: D_model=64, Layers=2, SeqLen=200
🔄 Epochs: 100, Batch Size: 32
------------------------------------------------------------
Epoch 041/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0001, A_kappa=9.5e+01, S_norm=11.5, Mem(MB)=20]
Epoch 042/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0001, A_kappa=1.0e+02, S_norm=12.9, Mem(MB)=20]
Epoch 043/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0001, A_kappa=1.0e+02, S_norm=15.4, Mem(MB)=20]
Epoch 044/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0001, A_kappa=8.8e+01, S_norm=12.2, Mem(MB)=20]
Epoch 045/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0001, A_kappa=1.0e+02, S_norm=12.3, Mem(MB)=20]
Epoch 046/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0001, A_kappa=9.4e+01, S_norm=11.8, Mem(MB)=20]
Epoch 047/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0001, A_kappa=8.6e+01, S_norm=12.6, Mem(MB)=20]
Epoch 048/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0001, A_kappa=1.0e+02, S_norm=11.7, Mem(MB)=20]
Epoch 049/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0001, A_kappa=9.0e+01, S_norm=14.2, Mem(MB)=20]
Epoch 050/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0001, A_kappa=1.1e+02, S_norm=12.5, Mem(MB)=20]
Epoch 051/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0001, A_kappa=9.2e+01, S_norm=12.6, Mem(MB)=20]
Epoch 052/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0000, A_kappa=9.2e+01, S_norm=12.1, Mem(MB)=20]
Epoch 053/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0000, A_kappa=8.3e+01, S_norm=13.4, Mem(MB)=20]
Epoch 054/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0000, A_kappa=1.0e+02, S_norm=12.1, Mem(MB)=20]
Epoch 055/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0000, A_kappa=7.6e+01, S_norm=13.5, Mem(MB)=20]
Epoch 056/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0000, A_kappa=8.8e+01, S_norm=11.5, Mem(MB)=20]
Epoch 057/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0000, A_kappa=8.4e+01, S_norm=13.5, Mem(MB)=20]
Epoch 058/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0000, A_kappa=9.7e+01, S_norm=12.1, Mem(MB)=20]
Epoch 059/100: 100% 63/63 [01:10<00:00,  1.13s/it, Loss=0.0000, A_kappa=9.1e+01, S_norm=12.4, Mem(MB)=20]
Epoch 060/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0000, A_kappa=8.6e+01, S_norm=12.6, Mem(MB)=20]
Epoch 061/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0000, A_kappa=9.9e+01, S_norm=11.6, Mem(MB)=20]
Epoch 062/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0000, A_kappa=8.5e+01, S_norm=13.8, Mem(MB)=20]
Epoch 063/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0000, A_kappa=8.2e+01, S_norm=13.9, Mem(MB)=20]
Epoch 064/100: 100% 63/63 [01:12<00:00,  1.14s/it, Loss=0.0000, A_kappa=9.2e+01, S_norm=11.5, Mem(MB)=20]
Epoch 065/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0000, A_kappa=7.4e+01, S_norm=13.7, Mem(MB)=20]
Epoch 066/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0000, A_kappa=9.2e+01, S_norm=12.6, Mem(MB)=20]
Epoch 067/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0000, A_kappa=7.6e+01, S_norm=13.8, Mem(MB)=20]
Epoch 068/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0000, A_kappa=8.8e+01, S_norm=12.7, Mem(MB)=20]
Epoch 069/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0000, A_kappa=8.1e+01, S_norm=14.9, Mem(MB)=20]
Epoch 070/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0000, A_kappa=7.8e+01, S_norm=11.6, Mem(MB)=20]
Epoch 071/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0000, A_kappa=7.6e+01, S_norm=11.4, Mem(MB)=20]
Epoch 072/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0000, A_kappa=9.0e+01, S_norm=13.8, Mem(MB)=20]
Epoch 073/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0000, A_kappa=6.8e+01, S_norm=12.2, Mem(MB)=20]
Epoch 074/100: 100% 63/63 [01:12<00:00,  1.14s/it, Loss=0.0000, A_kappa=7.9e+01, S_norm=11.9, Mem(MB)=20]
Epoch 075/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0000, A_kappa=7.9e+01, S_norm=13.5, Mem(MB)=20]
Epoch 076/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0000, A_kappa=9.0e+01, S_norm=10.9, Mem(MB)=20]
Epoch 077/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0000, A_kappa=7.0e+01, S_norm=10.8, Mem(MB)=20]
Epoch 078/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0000, A_kappa=8.1e+01, S_norm=10.6, Mem(MB)=20]
Epoch 079/100: 100% 63/63 [01:12<00:00,  1.14s/it, Loss=0.0000, A_kappa=8.1e+01, S_norm=11.1, Mem(MB)=20]
