timestep,vla_survival_memory_5,delta_survival_memory_5,vla_survival_memory_20,delta_survival_memory_20,vla_survival_memory_50,delta_survival_memory_50
42,1.0971154855776852e-21,1.010212060026389,2.0010129834451234e-11,0.4868387248556963,,
43,5.032193627297893e-22,0.9941034720634382,9.178144794967336e-12,0.42358661258492014,,
44,2.13171375986597e-22,1.0556167609713225,3.888001734142313e-12,0.43491693966738476,,
45,9.787157251701962e-23,1.1464704850876992,1.785065381823743e-12,0.4205738322575536,,
46,3.635326550964613e-23,1.1641454988191697,6.630419243159872e-13,0.37180391713595234,,
47,1.4081643367998182e-23,1.0573155156143417,2.5683304609242127e-13,0.3850904744689635,,
48,6.455905053441137e-24,1.109498773133319,1.1774831366109606e-13,0.393756899221491,,
49,2.861207781685402e-24,1.2827936045198571,5.2185152745994196e-14,0.41229354344213426,,
50,9.417540938783588e-25,1.3507911634871776,1.7176515998868904e-14,0.34778544540457823,1.0,1.0
51,4.905385386309522e-25,1.3204163387203036,8.946861087863378e-15,0.3128158544663816,0.5208775218707065,0.8608782880254697
52,2.269485470332129e-25,1.527846682284978,4.1392815538315465e-15,0.2946829767883078,0.24098493280617114,0.9468472067583025
53,1.2084673332201023e-25,1.566216814068322,2.2041059994422096e-15,0.301701260769984,0.1283209004426365,1.0194647089900686
54,6.850509123544844e-26,1.3304190218405438,1.2494543992517426e-15,0.29815927048046403,0.07274201586247298,1.0002576695701721
55,2.9597310448453226e-26,1.4353627477457318,5.398210421870606e-16,0.26535708063611424,0.03142785429959187,0.9889919795308217
56,1.619757917312039e-26,1.4433908262475792,2.9542529161119205e-16,0.24192182912902138,0.017199372191115253,1.051146629398502
57,8.020147547674369e-27,1.2957641719024267,1.4627830509193567e-16,0.2000586594530464,0.008516180178888914,1.0705162165502677
58,3.888161536695401e-27,1.3360888217473619,7.091561297726783e-17,0.19060825512367208,0.004128637785563599,1.0723884421344871
59,1.6504559677784836e-27,1.3163048755573559,3.010242644046045e-17,0.20068254837284583,0.001752533892347129,1.0262061377279708
60,8.056729581355451e-28,1.2933829643835344,1.469455194856704e-17,0.1993237884915447,0.0008555024749800658,1.1015931606012035
61,3.5898279250405946e-28,1.4017279308217214,6.547434960830709e-18,0.1901116970391692,0.0003811852742000687,1.0066795707386826
62,2.1249575289908506e-28,1.5096105425371662,3.875679142876409e-18,0.21307186665400613,0.00022563825767295465,1.0819453127103806
63,1.053480311117659e-28,1.7763602003114696,1.921427423148861e-18,0.19025291406319397,0.00011186362957862874,1.0148947414605234
64,4.859656777551433e-29,2.173055468862018,8.863457343186817e-19,0.17569277630245322,5.160218372439725e-05,0.899249946691368
65,2.281750827545272e-29,2.277246283125971,4.1616521605294974e-19,0.15465002396445834,2.4228732769809365e-05,0.8748222279036474
66,1.103519551138695e-29,2.3049285627912717,2.0126932655146688e-19,0.1457287274845516,1.171770378607168e-05,0.6947380168484434
67,5.986784784874918e-30,2.4104445399829673,1.0919209728699218e-19,0.13983104867041257,6.357057350523392e-06,0.7865941884508982
68,3.8968134112735486e-30,2.3179158866853435,7.107341325982327e-20,0.13151325750990683,4.137824764026859e-06,0.7306133499800866
69,2.286588393387082e-30,2.508267746516046,4.1704753265361605e-20,0.11734309975308516,2.428010038130429e-06,0.6794323387811707
70,1.1272094468045634e-30,2.728758879141514,2.055900921797911e-20,0.12068344395573352,1.1969254544596212e-06,0.6630329088945545
71,5.0110301504060455e-31,2.8914369740930788,9.139545037155029e-21,0.11824965726203573,5.320953933706278e-07,0.6548690717748803
72,2.4716531121792174e-31,2.850126880404523,4.508012176529389e-21,0.09777960162868937,2.6245206983920653e-07,0.6445028044763239
73,1.2065535012884746e-31,2.958232951297499,2.2006153892068584e-21,0.08948920822686289,1.2811768052099576e-07,0.6328536966391586
74,6.626825733202897e-32,3.002312616215422,1.2086571108952134e-21,0.09094497804056068,7.03668375457983e-08,0.6587225172211244
75,2.6595279116615006e-32,2.937455413369092,4.850674291838286e-22,0.09519912101799258,2.8240152381063247e-08,0.7016309245991729
76,1.5586280820504016e-32,3.156548419459802,2.842759098330294e-22,0.10560943222846836,1.6550266063953212e-08,0.7351190375705706
77,9.987164975467449e-33,3.3292150307011252,1.8215444997748765e-22,0.11599761487318329,1.0604854324909824e-08,0.7335442034471914
78,4.6465350717179525e-33,3.392608848670476,8.474747762442711e-23,0.12261746806334528,4.933915447696602e-09,0.6996109001278699
79,2.5969504207635373e-33,3.5342997081869623,4.736540115988685e-23,0.11761974425481447,2.7575674346884977e-09,0.673374638389127
80,1.3131297595874652e-33,3.584941101886862,2.3949982772316217e-23,0.10592037296450942,1.3943446257607398e-09,0.7169745732436529
81,7.314380221549335e-34,3.5670556282892907,1.3340591744056705e-23,0.09140264091009613,7.766762331159127e-10,0.6738910572467331
82,3.8192344759098518e-34,3.8826207848078376,6.965846233674092e-24,0.09343898563379167,4.0554477020443513e-10,0.592321907991872
83,1.9026315615732575e-34,3.647337018263916,3.4701820432476014e-24,0.09531248388859338,2.0203061223103208e-10,0.6287036549143282
84,1.1523206497343575e-34,3.141506133051662,2.1017008797357804e-24,0.09740384121370883,1.223589743038798e-10,0.5891620043980609
85,7.288761064203875e-35,3.190496062312489,1.3293865335445132e-24,0.09684571092622914,7.739558672038353e-11,0.6079808031521509
86,5.194241274578888e-35,3.252719775719337,9.4737011428711e-25,0.08451595305981838,5.515496357640255e-11,0.6387501633305502
87,2.4325314197229536e-35,3.1656635980984196,4.436658690439352e-25,0.08979312797921485,2.5829793950830966e-11,0.5876777828588446
88,1.5245501421453653e-35,3.474313274173486,2.7806048391885276e-25,0.07709347672209133,1.618841003246313e-11,0.4733754946257236
89,9.307094230843068e-36,3.658658067785927,1.697507385401449e-25,0.07197401875508104,9.882722349009731e-12,0.4860128979355731
90,7.012650836491597e-36,3.224455399892636,1.2790271905421362e-25,0.07056161246045735,7.446371491322001e-12,0.4882290520517217
91,4.3258889030553045e-36,3.2182034496289496,7.889925877216971e-26,0.08037002284340013,4.593437853017769e-12,0.5319116068166962
92,2.8106389557904786e-36,3.2868797625663424,5.126283528257748e-26,0.07167363206892155,2.9844722460569546e-12,0.4638430978532881
93,1.7461595023297266e-36,3.5388328880793165,3.184794929303224e-26,0.07204116142080627,1.854156529480686e-12,0.4881460085424871
94,1.0684618956408783e-36,3.288612368481724,1.9487521173470808e-26,0.0659314865116726,1.1345444661044238e-12,0.5570884208382976
95,7.006836723915867e-37,3.5082538257089793,1.2779667630024482e-26,0.060607852292306516,7.440197785666223e-13,0.584682927191363
96,4.292457097739346e-37,3.9437814660898205,7.828950093558227e-27,0.06311510726962234,4.557938346794994e-13,0.6229973206423346
97,3.2505961315932263e-37,4.081550920533688,5.928715024772076e-27,0.06361050750499331,3.451640032916158e-13,0.6690713761003382
98,2.290063257235807e-37,4.043732493043597,4.176813080189633e-27,0.06561936422778576,2.431699816461431e-13,0.6599167014127766
99,1.3841232376003032e-37,4.390390589639592,2.524482249622015e-27,0.061823516090676135,1.4697289309358524e-13,0.6154666375925812
100,8.703917297762086e-38,4.30620958558516,1.5874948215213454e-27,0.06301179656605609,9.242239937516343e-14,0.6330355340367629
101,4.90183048052493e-38,3.992229557628849,8.940377346886779e-28,0.0653625812583676,5.2050004479811376e-14,0.66476407203618
102,2.902104005723482e-38,3.6771911152590016,5.293105303042036e-28,0.058243905700169865,3.0815942554302607e-14,0.6796947344836108
103,1.8522741909462982e-38,4.105466625590871,3.378335967094874e-28,0.05763733554634309,1.9668342330408232e-14,0.6307545779062782
104,1.0184866708813432e-38,4.462139744396036,1.8576030314860213e-28,0.061278858281627185,1.0814783577812565e-14,0.6213165456591225
105,6.556063377343043e-39,4.829813128138415,1.195750867689633e-28,0.06008908224666826,6.961544866073978e-15,0.6032740813839669
106,4.435125844253543e-39,5.042241257841414,8.089161546098637e-29,0.06020902416284713,4.709430915228282e-15,0.5712850078019961
107,2.820882094449372e-39,5.6883583512181195,5.144965839935155e-29,0.05771226305610054,2.995348905606911e-15,0.5435787047645868
108,1.719197804014502e-39,4.993509344735215,3.135619879735777e-29,0.05551266236110316,1.8255272954901118e-15,0.5211670641332785
109,1.1127305302577354e-39,5.10072421646634,2.02949303641366e-29,0.05572751921516903,1.1815510412864318e-15,0.5023486270248766
110,7.970315822614084e-40,5.451409968078749,1.453694315034765e-29,0.06842497211954333,8.46326644547994e-16,0.5254665572644046
111,4.953640285000679e-40,5.633193823161931,9.034872496019724e-30,0.06785050814626521,5.260014601689123e-16,0.45464915943473266
112,3.922963658017974e-40,6.8536691646820405,7.15503638082729e-30,0.06983146123795879,4.1655923595323176e-16,0.43783883785623134
113,2.6005549911951944e-40,7.309884035633036,4.743114439592995e-30,0.0739740702131169,2.761394941736343e-16,0.47883436750481495
114,1.6220525316305245e-40,7.072094610388296,2.958438029806555e-30,0.07764280169972883,1.7223737514647167e-16,0.4717294063530358
115,1.1071497795247824e-40,7.848895408400743,2.019314386289029e-30,0.0703617081158481,1.1756251305107532e-16,0.4131875050973581
116,6.680394731984102e-41,7.614390504696072,1.2184274827002289e-30,0.06701973762231973,7.093565905801062e-17,0.3198192571177985
117,4.175113507231764e-41,7.764385329090584,7.614928824861885e-31,0.07055290144495813,4.433337252655509e-17,0.35305434671251146
118,3.19523481403859e-41,8.726156407459493,5.8277423225691475e-31,0.06831773300204204,3.39285471102109e-17,0.3542576886655234
119,1.847354573672753e-41,9.334832364124248,3.369363148674795e-31,0.06842387456422509,1.961610345716601e-17,0.34731503152003795
120,1.3652514494525362e-41,8.808254314839715,2.490062269591723e-31,0.06525261682476313,1.4496899544446018e-17,0.40738678810647194
121,1.1014888554671852e-41,7.9598986356757075,2.0089895092032e-31,0.05963243034865679,1.1696140878252e-17,0.40365969691183473
122,7.496408796177279e-42,8.348641685592074,1.3672591014850632e-31,0.04950082081531436,7.960049066848594e-18,0.35805327479383087
123,5.444653534333181e-42,7.77852070975456,9.93042442275291e-32,0.04222679998789532,5.7813961943195255e-18,0.3491712753241663
124,3.716104830275378e-42,8.26890874514654,6.777749572378659e-32,0.04421691593468534,3.9459396613521535e-18,0.3362955325484143
125,2.861275533084128e-42,7.844438054946965,5.218638845390529e-32,0.046263850410409424,3.0382406104556853e-18,0.37015719839330113
126,1.6623004884504575e-42,7.406562734372659,3.031845693094998e-32,0.04987641800896332,1.765110976693207e-18,0.36936603037588017
127,1.2104400310691307e-42,6.73136108065815,2.207703974368467e-32,0.053249236296507026,1.2853037103181156e-18,0.360624630517447
