epoch,train_loss,test_acc,epoch_time_sec
1,3.4859571121633053,0.0390625,1531.229332447052
2,3.4587405994534492,0.05078125,1470.2365190982819
3,3.433658204972744,0.06640625,3773.0398075580597
4,3.354964751750231,0.1171875,1301.5969727039337
5,3.305212013423443,0.125,1301.8207080364227
